ID,Species,Years,Decade,Detections,Mean occupancy,SD,SD breadth
19,Lasius niger,1970-1979,8,94,0.9622017,0.03620032,0.07240064
20,Lasius umbratus,1970-1979,8,11,0.2123788,0.0859928,0.1719856
21,Leptothorax acervorum,1970-1979,8,64,0.9832417,0.03296488,0.06592976
22,Myrmica lobicornis,1970-1979,8,9,0.6551756,0.251239,0.502478
23,Myrmica rubra,1970-1979,8,33,0.7145979,0.1391203,0.2782406
24,Myrmica ruginodis,1970-1979,8,91,0.8765763,0.06283595,0.1256719
25,Myrmica rugulosa,1970-1979,8,19,0.2818501,0.07561897,0.15123794
26,Myrmica sabuleti,1970-1979,8,11,0.4889201,0.1773636,0.3547272
27,Myrmica scabrinodis,1970-1979,8,28,0.6612328,0.1136535,0.227307
28,Myrmica schencki,1970-1979,8,3,0.246652,0.1119759,0.2239518
29,Tetramorium caespitum,1970-1979,8,42,0.7901735,0.1105945,0.221189
1,Camponotus herculeanus,1980-1989,9,6,0.1295821,0.05438621,0.10877242
2,Formica cinerea,1980-1989,9,6,0.1687008,0.03743364,0.07486728
3,Formica cunicularia,1980-1989,9,10,0.06176613,0.03672968,0.07345936
4,Formica exsecta,1980-1989,9,7,0.3765104,0.0783523,0.1567046
5,Formica fusca,1980-1989,9,18,0.9270906,0.05735341,0.11470682
6,Formica picea,1980-1989,9,3,0.3602884,0.09545493,0.19090986
7,Formica polyctena,1980-1989,9,21,0.7079806,0.1568395,0.313679
8,Formica pratensis,1980-1989,9,8,0.2194383,0.05243863,0.10487726
9,Formica pressilabris,1980-1989,9,10,0.3166184,0.08152224,0.16304448
10,Formica rufa,1980-1989,9,22,0.8106372,0.07524582,0.15049164
11,Formica rufibarbis,1980-1989,9,17,0.3682711,0.0863575,0.172715
12,Formica sanguinea,1980-1989,9,13,0.3468054,0.08776659,0.17553318
13,Formica truncorum,1980-1989,9,0,0.1575004,0.0601333,0.1202666
14,Formica uralensis,1980-1989,9,1,0.1872302,0.1020971,0.2041942
15,Formicoxenus nitidulus,1980-1989,9,0,0.1391873,0.07942852,0.15885704
16,Lasius flavus,1980-1989,9,17,0.936998,0.09191367,0.18382734
17,Lasius fuliginosus,1980-1989,9,11,0.480364,0.1184004,0.2368008
18,Lasius meridionalis,1980-1989,9,4,0.2733025,0.1399588,0.2799176
19,Lasius niger,1980-1989,9,20,0.9347471,0.07169225,0.1433845
20,Lasius umbratus,1980-1989,9,5,0.2423119,0.09971917,0.19943834
21,Leptothorax acervorum,1980-1989,9,5,0.9175133,0.182107,0.364214
22,Myrmica lobicornis,1980-1989,9,2,0.5947159,0.2843396,0.5686792
23,Myrmica rubra,1980-1989,9,13,0.6804319,0.1515655,0.303131
24,Myrmica ruginodis,1980-1989,9,15,0.8184729,0.115106,0.230212
25,Myrmica rugulosa,1980-1989,9,10,0.3438414,0.09878032,0.19756064
26,Myrmica sabuleti,1980-1989,9,11,0.1605681,0.07690123,0.15380246
27,Myrmica scabrinodis,1980-1989,9,7,0.5887393,0.1705874,0.3411748
28,Myrmica schencki,1980-1989,9,2,0.2474148,0.1178666,0.2357332
29,Tetramorium caespitum,1980-1989,9,16,0.8027661,0.112375,0.22475
1,Camponotus herculeanus,1990-1999,10,8,0.199429,0.09643127,0.19286254
2,Formica cinerea,1990-1999,10,0,0.1693485,0.0439296,0.0878592
3,Formica cunicularia,1990-1999,10,8,0.06261532,0.03815083,0.07630166
4,Formica exsecta,1990-1999,10,0,0.3641805,0.09482141,0.18964282
5,Formica fusca,1990-1999,10,9,0.9259046,0.05923816,0.11847632
6,Formica picea,1990-1999,10,1,0.3647045,0.108063,0.216126
7,Formica polyctena,1990-1999,10,14,0.7104495,0.173304,0.346608
8,Formica pratensis,1990-1999,10,1,0.2138629,0.05935442,0.11870884
9,Formica pressilabris,1990-1999,10,0,0.2984914,0.08538908,0.17077816
10,Formica rufa,1990-1999,10,5,0.7857096,0.09524296,0.19048592
11,Formica rufibarbis,1990-1999,10,3,0.3965857,0.1103799,0.2207598
12,Formica sanguinea,1990-1999,10,3,0.3127774,0.1188055,0.237611
13,Formica truncorum,1990-1999,10,1,0.1623897,0.06197082,0.12394164
14,Formica uralensis,1990-1999,10,0,0.198451,0.1232003,0.2464006
15,Formicoxenus nitidulus,1990-1999,10,0,0.1411149,0.08419197,0.16838394
16,Lasius flavus,1990-1999,10,0,0.9307522,0.1168257,0.2336514
17,Lasius fuliginosus,1990-1999,10,3,0.4625246,0.1366011,0.2732022
18,Lasius meridionalis,1990-1999,10,1,0.3210719,0.1679594,0.3359188
19,Lasius niger,1990-1999,10,3,0.9011344,0.1397395,0.279479
20,Lasius umbratus,1990-1999,10,1,0.3054036,0.1296233,0.2592466
21,Leptothorax acervorum,1990-1999,10,2,0.9151948,0.1916201,0.3832402
22,Myrmica lobicornis,1990-1999,10,0,0.5325194,0.3192819,0.6385638
23,Myrmica rubra,1990-1999,10,1,0.6184105,0.2085093,0.4170186
24,Myrmica ruginodis,1990-1999,10,0,0.7750962,0.2147947,0.4295894
25,Myrmica rugulosa,1990-1999,10,2,0.3634444,0.132134,0.264268
26,Myrmica sabuleti,1990-1999,10,2,0.1360909,0.1058426,0.2116852
27,Myrmica scabrinodis,1990-1999,10,2,0.6140733,0.1612287,0.3224574
28,Myrmica schencki,1990-1999,10,0,0.2400123,0.1256965,0.251393
29,Tetramorium caespitum,1990-1999,10,1,0.7574042,0.1344143,0.2688286
1,Camponotus herculeanus,2000-2009,11,0,0.2201695,0.1271026,0.2542052
2,Formica cinerea,2000-2009,11,0,0.1752079,0.04980198,0.09960396
3,Formica cunicularia,2000-2009,11,0,0.06152274,0.04220744,0.08441488
4,Formica exsecta,2000-2009,11,0,0.3645697,0.1014804,0.2029608
5,Formica fusca,2000-2009,11,1,0.9184423,0.07777679,0.15555358
6,Formica picea,2000-2009,11,0,0.3869429,0.1242157,0.2484314
7,Formica polyctena,2000-2009,11,0,0.6096857,0.2430488,0.4860976
8,Formica pratensis,2000-2009,11,0,0.2099871,0.0675947,0.1351894
9,Formica pressilabris,2000-2009,11,0,0.2930972,0.09058445,0.1811689
10,Formica rufa,2000-2009,11,0,0.7543869,0.1245664,0.2491328
11,Formica rufibarbis,2000-2009,11,0,0.4554031,0.1240922,0.2481844
12,Formica sanguinea,2000-2009,11,0,0.2666177,0.1308253,0.2616506
13,Formica truncorum,2000-2009,11,0,0.1654885,0.0650168,0.1300336
14,Formica uralensis,2000-2009,11,0,0.2729768,0.1576707,0.3153414
15,Formicoxenus nitidulus,2000-2009,11,0,0.1467747,0.08996634,0.17993268
16,Lasius flavus,2000-2009,11,0,0.9367959,0.09883856,0.19767712
17,Lasius fuliginosus,2000-2009,11,0,0.4547789,0.145677,0.291354
18,Lasius meridionalis,2000-2009,11,0,0.3607406,0.1872965,0.374593
19,Lasius niger,2000-2009,11,0,0.9147508,0.1251389,0.2502778
20,Lasius umbratus,2000-2009,11,0,0.3905055,0.166284,0.332568
21,Leptothorax acervorum,2000-2009,11,1,0.9584882,0.1025718,0.2051436
22,Myrmica lobicornis,2000-2009,11,0,0.5122159,0.3288265,0.657653
23,Myrmica rubra,2000-2009,11,0,0.6682179,0.1882669,0.3765338
24,Myrmica ruginodis,2000-2009,11,0,0.8256678,0.1616052,0.3232104
25,Myrmica rugulosa,2000-2009,11,0,0.4034167,0.1613901,0.3227802
26,Myrmica sabuleti,2000-2009,11,0,0.1039767,0.1131236,0.2262472
27,Myrmica scabrinodis,2000-2009,11,0,0.6506226,0.1558175,0.311635
28,Myrmica schencki,2000-2009,11,0,0.239368,0.1264961,0.2529922
29,Tetramorium caespitum,2000-2009,11,0,0.7118474,0.1438523,0.2877046
1,Camponotus herculeanus,2010-2019,12,1,0.241906,0.1338495,0.267699
2,Formica cinerea,2010-2019,12,6,0.1814404,0.05295689,0.10591378
3,Formica cunicularia,2010-2019,12,0,0.06073792,0.04194359,0.08388718
4,Formica exsecta,2010-2019,12,3,0.36362,0.1012784,0.2025568
5,Formica fusca,2010-2019,12,88,0.916554,0.05522824,0.11045648
6,Formica picea,2010-2019,12,3,0.407606,0.1303635,0.260727
7,Formica polyctena,2010-2019,12,37,0.5386876,0.1091323,0.2182646
8,Formica pratensis,2010-2019,12,1,0.2062349,0.07624239,0.15248478
9,Formica pressilabris,2010-2019,12,1,0.2861727,0.08885344,0.17770688
10,Formica rufa,2010-2019,12,10,0.7206333,0.1484461,0.2968922
11,Formica rufibarbis,2010-2019,12,8,0.5185836,0.1126599,0.2253198
12,Formica sanguinea,2010-2019,12,3,0.2240063,0.1288718,0.2577436
13,Formica truncorum,2010-2019,12,3,0.1685877,0.06463929,0.12927858
14,Formica uralensis,2010-2019,12,1,0.3491881,0.141677,0.283354
15,Formicoxenus nitidulus,2010-2019,12,1,0.1510208,0.09305163,0.18610326
16,Lasius flavus,2010-2019,12,26,0.9411326,0.08637009,0.17274018
17,Lasius fuliginosus,2010-2019,12,12,0.446417,0.1228977,0.2457954
18,Lasius meridionalis,2010-2019,12,6,0.3998332,0.1851003,0.3702006
19,Lasius niger,2010-2019,12,329,0.9421995,0.0381518,0.0763036
20,Lasius umbratus,2010-2019,12,5,0.4825085,0.1771853,0.3543706
21,Leptothorax acervorum,2010-2019,12,6,0.9711268,0.06602348,0.13204696
22,Myrmica lobicornis,2010-2019,12,3,0.4809002,0.3368653,0.6737306
23,Myrmica rubra,2010-2019,12,44,0.7196805,0.1288028,0.2576056
24,Myrmica ruginodis,2010-2019,12,39,0.8781974,0.08057807,0.16115614
25,Myrmica rugulosa,2010-2019,12,10,0.444099,0.1725078,0.3450156
26,Myrmica sabuleti,2010-2019,12,8,0.0528662,0.04514794,0.09029588
27,Myrmica scabrinodis,2010-2019,12,10,0.688668,0.1380956,0.2761912
28,Myrmica schencki,2010-2019,12,3,0.2354639,0.1260081,0.2520162
29,Tetramorium caespitum,2010-2019,12,27,0.6617381,0.1026642,0.2053284
